,X_WGS84,Y_WGS84,echang
833,-121.820556,39.205556,0
834,-121.813837,37.53168,0
835,-121.7806,42.225,0
836,-121.745,49.286,0
837,-121.73,62.56,0
838,-121.712032,39.83939,0
839,-121.6955,36.1769,0
840,-121.692778,36.572778,0
841,-121.691033,50.834025,0
842,-121.671267,38.574877,0
843,-121.66,69.11,0
844,-121.65,56.39,0
845,-121.6242,44.5596,0
846,-121.62395,40.78109,0
847,-121.620833,39.5975,0
848,-121.59,51.08,0
849,-121.5890584,40.08733044,0
850,-121.585554,38.938754,0
851,-121.58,50.23,0
852,-121.56495,41.946267,0
853,-121.564,44.2983,0
854,-121.54,53.12,0
855,-121.5203,45.7056,0
856,-121.5132,37.5868,0
857,-121.51,66.82,0
858,-121.473611,39.856944,0
859,-121.473451,39.458855,0
860,-121.4699,56.2131,0
861,-121.456795,41.110398,0
862,-121.446928,43.88523,0
863,-121.44,49.38,0
864,-121.43,65.53,0
865,-121.4098,49.56241,0
866,-121.405,42.1989,0
867,-121.4,50.88,0
868,-121.39,58.33,0
869,-121.38,55.96,0
870,-121.374722,40.418889,0
871,-121.37376,50.42215,0
872,-121.3692,44.7309,0
873,-121.364794,38.056627,0
874,-121.362803,44.059066,0
875,-121.36,72.65,0
876,-121.334498,50.623507,0
877,-121.328611,39.622222,0
878,-121.31448,36.73259,0
879,-121.311737,38.617461,0
880,-121.3076,45.1647,0
881,-121.291297,35.709868,0
882,-121.28,64.69,0
883,-121.25,51.47,0
884,-121.2452,39.363883,0
885,-121.24,67.96,0
886,-121.232483,46.643457,0
887,-121.229906,45.789333,0
888,-121.225561,51.811554,0
889,-121.2,72.15,0
890,-121.1775,45.5947,0
891,-121.1675,41.710278,0
892,-121.1283,44.6336,0
893,-121.12039,46.98493,0
894,-121.11624,36.51002,0
895,-121.1028,50.25,0
896,-121.10138,44.41893,0
897,-121.09149,41.465929,0
898,-121.0903658,40.58820816,0
899,-121.09,73.79,0
900,-121.0888,56.2344,0
901,-121.062248,39.260831,0
902,-121.055615,38.903861,0
903,-121.05,59.47,0
904,-121.0475,35.6705,0
905,-121.03642,50.765003,0
906,-121.021303,55.126949,0
907,-121.0175,43.9248,0
908,-121.007,42.564,0
909,-120.9783,44.1989,0
910,-120.969259,42.372971,0
911,-120.94,52.51,0
912,-120.935227,39.937527,0
913,-120.92,56.45,0
914,-120.9175,40.706944,0
915,-120.903774,41.306448,0
916,-120.899,49.54,0
917,-120.894188,40.993092,0
918,-120.8661,35.3133,0
919,-120.86,63.01,0
920,-120.8497,42.838,0
921,-120.84277,50.613897,0
922,-120.829913,39.018327,0
923,-120.824668,45.516774,0
924,-120.821687,38.61815,0
925,-120.82,64.27,0
926,-120.81533,46.66595,0
927,-120.807652,47.12534,0
928,-120.79,50.11,0
929,-120.777743,49.067363,0
930,-120.760553,44.432767,0
931,-120.71,60.43,0
932,-120.7025,40.639444,0
933,-120.694781,35.687452,0
934,-120.688573,41.609792,0
935,-120.687422,46.871393,0
936,-120.67,56.14,0
937,-120.645303,38.424775,0
938,-120.642071,36.320619,0
939,-120.6259,42.4525,0
940,-120.616606,40.36635,0
941,-120.59861,34.80811,0
942,-120.59,53.99,0
943,-120.589611,38.616117,0
944,-120.580101,47.469961,0
945,-120.570556,39.470833,0
946,-120.561635,49.914007,0
947,-120.554797,44.815445,0
948,-120.546735,45.301646,0
949,-120.54518,34.559005,0
950,-120.545,42.6939,0
951,-120.528825,44.509597,0
952,-120.524809,50.719975,0
953,-120.52,76.3,0
954,-120.51,50.16,0
955,-120.507,46.693979,0
956,-120.5,51,0
957,-120.45805,39.801667,0
958,-120.454144,35.493219,0
959,-120.452687,47.652744,0
960,-120.45045,35.1824,0
961,-120.448889,40.006389,0
962,-120.41951,46.48721,0
963,-120.4054,45.5842,0
964,-120.362628,38.764675,0
965,-120.3485,44.3914,0
966,-120.33,73.06,0
967,-120.329969,46.310582,0
968,-120.319195,47.443564,0
969,-120.313479,46.882418,0
970,-120.3035,34.7475,0
971,-120.27,50.25,0
972,-120.263084,50.673361,0
