,X_WGS84,Y_WGS84,symnov
790,-76.047485,44.991553,1
791,-75.561986,44.997503,1
792,-77.776732,45.015324,1
793,-74.64273,45.035222,1
794,-93.527725,45.03807,1
795,-79.316505,45.044206,1
796,-95.88748,45.05187,1
797,-72.391731,45.054799,1
798,-92.846915,45.071252,1
799,-83.44156,45.0835,1
800,-72.096181,45.087691,1
801,-64.369874,45.088492,1
802,-87.211045,45.089197,1
803,-92.971855,45.100595,1
804,-96.918925,45.117499,1
805,-93.459649,45.121528,1
806,-83.753145,45.124625,1
807,-85.13893,45.142708,1
808,-93.771426,45.157897,1
809,-75.949768,45.161088,1
810,-93.131339,45.183158,1
811,-84.879966,45.197145,1
812,-96.25630852,45.19857843,1
813,-75.226456,45.208063,1
814,-67.272728,45.211581,1
815,-94.06413,45.217384,1
816,-92.784395,45.219445,1
817,-79.636505,45.251122,1
818,-75.347763,45.25915,1
819,-74.685773,45.266734,1
820,-73.612596,45.266978,1
821,-75.854737,45.273175,1
822,-75.687862,45.280317,1
823,-79.226868,45.323924,1
824,-76.371632,45.332476,1
825,-94.065982,45.332932,1
826,-73.780722,45.339328,1
827,-77.999934,45.339501,1
828,-76.028493,45.346687,1
829,-71.8947,45.3478,1
830,-84.487167,45.353697,1
831,-75.524649,45.364128,1
832,-63.262603,45.371708,1
833,-94.835116,45.376922,1
834,-74.021827,45.383368,1
835,-74.936928,45.388361,1
836,-93.7489,45.399667,1
837,-93.199412,45.401686,1
838,-92.832825,45.401867,1
839,-75.833614,45.41713,1
840,-84.845428,45.426167,1
841,-95.245018,45.434262,1
842,-76.021583,45.440208,1
843,-72.62328,45.442123,1
844,-75.651818,45.447719,1
845,-73.556573,45.461124,1
846,-73.830833,45.466844,1
847,-94.34075,45.47544,1
848,-73.371755,45.476295,1
849,-75.502542,45.498862,1
850,-75.337415,45.506076,1
851,-73.705668,45.520663,1
852,-92.970845,45.530776,1
853,-73.453678,45.549656,1
854,-94.163758,45.556329,1
855,-95.97424908,45.55915569,1
856,-75.848595,45.580745,1
857,-75.108449,45.59892,1
858,-73.594875,45.610866,1
859,-61.985622,45.616617,1
860,-73.758529,45.620049,1
861,-75.33808,45.626962,1
862,-95.500112,45.665152,1
863,-73.4735,45.6974,1
864,-87.42319,45.704947,1
865,-95.603289,45.76666,1
866,-72.285963,45.77641,1
867,-95.748005,45.810665,1
868,-94.839268,45.825059,1
869,-77.191865,45.87892,1
870,-80.559495,45.917988,1
871,-86.2716,45.97603,1
872,-62.607039,46.05791,1
873,-84.930767,46.09294,1
874,-95.742806,46.106485,1
875,-96.010383,46.242862,1
876,-85.974944,46.291928,1
877,-83.277321,46.311002,1
878,-64.605755,46.331813,1
879,-96.290982,46.347907,1
880,-94.203289,46.351577,1
881,-80.168495,46.363547,1
882,-96.38428208,46.42349945,1
883,-84.320996,46.51398,1
884,-96.36690136,46.54355044,1
885,-90.969263,46.582406,1
886,-64.394269,46.65901,1
887,-96.21560674,46.69080581,1
888,-96.790062,46.758945,1
889,-92.112185,46.802702,1
890,-96.473428,46.869327,1
891,-92.607581,46.875949,1
892,-96.22965007,46.92206358,1
893,-96.03549692,47.03580733,1
894,-96.447104,47.071261,1
895,-96.14461773,47.10841787,1
896,-71.441997,47.12385,1
897,-91.457461,47.138892,1
898,-95.588348,47.141766,1
899,-96.00743,47.158904,1
900,-97.94332707,47.2249514,1
901,-96.39981248,47.2528107,1
902,-96.077573,47.260368,1
903,-96.29762359,47.45694499,1
904,-96.341088,47.709227,1
905,-90.440762,47.730136,1
906,-98.70630562,47.73181771,1
907,-96.234497,47.79609,1
908,-98.79459,47.91204,1
909,-96.558273,47.985145,1
910,-89.246566,48.399743,1
911,-96.30132638,48.53447066,1
912,-96.57277,48.695736,1
913,-96.205914,48.711601,1
914,-96.416006,48.718097,1
915,-96.5283364,48.79812581,1
916,-96.68021875,48.91093999,1
917,-96.371504,48.91524,1
918,-88.22,49.22,1
919,-88.5,49.5,1
920,-97.1201,49.7946,1
921,-95.523575,49.900892,1
922,-165.86,65.56,0
923,-165.4,64.92,0
924,-165.02,65.79,0
