,X_WGS84,Y_WGS84,amocan
910,-132.28,64.31,0
911,-132.13,66.75,0
912,-131.98,68.53,0
913,-131.94,59.36,0
914,-131.84,56.65,0
915,-131.82,65.41,0
916,-131.75,61.3,0
917,-131.6,62.71,0
918,-131.52,67.51,0
919,-131.14,66.36,0
920,-130.97,58.01,0
921,-130.87,57.15,0
922,-130.8,64.77,0
923,-130.76,61.3,0
924,-130.76,67.62,0
925,-130.72,68.38,0
926,-130.71,58.18,0
927,-130.68,60.39,0
928,-130.62,65.74,0
929,-130.57,62.37,0
930,-130.42,66.82,0
931,-129.88,60.43,0
932,-129.85,59.29,0
933,-129.69,64.54,0
934,-129.62,68.95,0
935,-129.59,57.51,0
936,-129.58,63.36,0
937,-129.58,67.16,0
938,-129.54,66.55,0
939,-129.54,65.53,0
940,-129.44,68.02,0
941,-129.07,59.37,0
942,-129.05,63.15,0
943,-129.01,66.71,0
944,-128.85,61.76,0
945,-128.82,56.01,0
946,-128.74,56.88,0
947,-128.63,54.33,0
948,-128.63,58.41,0
949,-128.55,68.84,0
950,-128.55,60.77,0
951,-128.47,65.91,0
952,-128.41,53.16,0
953,-128.4,67.73,0
954,-128.25,64.99,0
955,-128.21,54.3,0
956,-128.09,63.97,0
957,-128.02,67.24,0
958,-127.86,68.12,0
959,-127.67,55.25,0
960,-127.64,62.94,0
961,-127.64,59.44,0
962,-127.6,57.23,0
963,-127.6,61.91,0
964,-127.52,69.71,0
965,-127.48,66.76,0
966,-127.48,60.69,0
967,-127.37,56.09,0
968,-127.24,69.04,0
969,-127.14,67.43,0
970,-127.11,54.77,0
971,-126.91,63.89,0
972,-126.91,53.34,0
973,-126.76,58.56,0
