,X_WGS84,Y_WGS84,koemac
676,-121.64,44.4606,1
677,-117.4061,45.3456,1
678,-118.7244,42.7546,1
679,-118.5896,42.646,1
680,-121.0175,43.9248,1
681,-117.1141,45.1154,1
682,-117.9436,44.3244,1
683,-119.2941,45.2941,1
684,-118.7875,45.6722,1
685,-117.9164,45.565,1
686,-121.7806,42.225,1
687,-117.2818,45.7761,1
688,-117.716,43.5053,1
689,-121.1533,44.1885,1
690,-119.8166,42.5,1
691,-121.3058,45.6853,1
692,-124.3867,42.2581,1
693,-121.3076,45.1647,1
694,-120.5758,44.5416,1
695,-123.2715,42.6864,1
696,-122.9643,42.4838,1
697,-123.4941,45.6552,1
698,-123.8941,45.8196,1
699,-121.564,44.2983,1
700,-121.4341,44.1744,1
701,-119.6714,43.5359,1
702,-121.6242,44.5596,1
703,-123.5476,44.4985,1
704,-123.7505,42.2952,1
705,-120.9783,44.1989,1
706,-121.8912,45.6431,1
707,-118.1432,44.6944,1
708,-124.0678,42.5567,1
709,-118.9314,45.1342,1
710,-120.2128,44.9991,1
711,-123.7233,45.9888,1
712,-123.0342,43.2822,1
713,-122.2081,44.0402,1
714,-122.697,44.1637,1
715,-99.21937114,45.27645336,0
716,-96.04482271,45.86552618,0
717,-89.377822,42.094683,0
718,-88.614303,40.746787,0
719,-89.014534,39.823401,0
720,-89.628193,41.643226,0
721,-89.771473,40.522615,0
722,-88.929105,42.190062,0
723,-88.700797,41.320517,0
724,-88.85381,41.538001,0
725,-90.175271,41.346596,0
726,-89.12999,42.07823,0
727,-88.188635,42.352271,0
728,-89.008011,41.723977,0
729,-90.106688,42.055646,0
730,-86.072413,39.959408,0
731,-86.533911,40.764636,0
732,-86.873907,40.777777,0
733,-87.468075,41.348698,0
734,-94.630383,42.490776,0
735,-95.885382,42.140172,0
736,-93.601615,41.281884,0
737,-94.09143,40.695758,0
738,-94.87686,38.1354,0
739,-95.8209,38.0321,0
740,-95.548,38.77901,0
741,-95.30644,37.55821,0
742,-98.85016,38.30487,0
743,-96.73584,39.82732,0
744,-95.11998,38.00818,0
745,-99.47486,37.87136,0
746,-98.87051,37.28216,0
747,-95.997622,39.083998,0
748,-96.53471,38.15665,0
749,-98.812052,39.467489,0
750,-96.442911,50.440564,0
751,-94.954744,47.376885,0
752,-94.90439,43.522882,0
753,-96.34232,43.609067,0
754,-93.602608,45.350221,0
755,-95.250604,44.000037,0
756,-93.736353,44.666506,0
757,-93.939379,44.362618,0
758,-95.740675,47.768484,0
759,-95.713386,43.927817,0
760,-95.080251,45.477387,0
761,-95.258125,46.927592,0
762,-93.099248,43.666499,0
763,-91.850722,37.531272,0
764,-94.104581,37.860893,0
765,-93.2657,38.547028,0
766,-92.305002,38.871037,0
767,-91.635439,40.521151,0
768,-95.620545,40.476946,0
769,-91.016804,39.185324,0
770,-93.411361,37.563693,0
771,-94.363461,36.972284,0
772,-98.582092,40.731963,0
773,-100.963972,40.649297,0
774,-96.828981,41.26933,0
775,-96.173645,41.5873,0
776,-98.69916,40.57662,0
777,-98.64913,41.87993,0
778,-95.602696,40.286995,0
779,-103.980605,36.778695,0
780,-97.999079,46.917736,0
781,-102.555406,45.971595,0
782,-100.537176,48.569451,0
783,-100.2875128,48.4649807,0
784,-97.98118251,48.76278143,0
785,-95.862471,36.666544,0
786,-96.070655,35.622063,0
787,-97.000073,36.785947,0
788,-97.099095,35.276809,0
789,-98.980207,34.746408,0
790,-99.381035,36.627041,0
791,-96.756121,44.86261,0
792,-96.969192,43.55157,0
793,-98.83569,45.72047,0
794,-101.879827,35.469779,0
795,-89.91684,43.152482,0
796,-92.029617,44.562092,0
797,-90.866908,44.111386,0
798,-89.871047,42.951138,0
799,-88.190427,43.642731,0
800,-91.251352,43.9215,0
801,-91.200118,43.455797,0
802,-91.023112,42.736337,0
803,-90.680489,43.132109,0
804,-97.44465,40.33924,0
805,-95.604204,39.100318,0
806,-99.800997,41.444526,0
807,-100.644081,48.29399,0
808,-90.053656,43.797939,0
809,-96.376069,32.579477,0
810,-86.984383,38.196895,0
811,-98.568316,42.570676,0
812,-96.36563963,46.5424835,0
813,-97.11272738,46.52037938,0
814,-89.104689,44.320933,0
815,-93.08105,43.203953,0
816,-87.464012,46.156096,0
817,-109.282273,50.663836,0
818,-114.897014,52.227178,0
819,-105.17323,39.34107,0
820,-105.303432,39.970514,0
821,-97.56925,50.864944,0
822,-90.511088,41.436631,0
823,-81.614695,45.247986,0
824,-90.771891,43.427441,0
825,-84.934745,46.027815,0
826,-113.535967,53.261296,0
827,-87.719736,43.665,0
828,-91.137571,44.586769,0
829,-112.577176,52.594691,0
830,-100.915695,46.765019,0
831,-93.641929,44.942142,0
832,-95.699254,44.262693,0
833,-94.233734,46.969171,0
834,-91.012432,43.837751,0
835,-84.899292,45.747058,0
836,-85.981957,45.113771,0
837,-85.863327,45.434324,0
838,-122.28,52.35,0
839,-122.75,53.92,0
840,-120.85,56.25,0
841,-113.93,49.53,0
842,-106.78036,35.845094,0
843,-101.817245,45.968803,0
844,-82.31655,45.767379,0
845,-104.3426,44.583,0
846,-79.03818,44.68918,0
847,-80.099385,42.549609,0
848,-92.84563,45.72351,0
849,-77.423294,44.255113,0
850,-81.052376,42.71202,0
851,-119.525921,55.290047,0
852,-110.310771,50.684801,0
853,-76.3898,45.49,0
854,-74.0047,45.4841,0
855,-97.28346,43.0991,0
856,-100.7823931,47.03359896,0
857,-103.8177349,46.96334332,0
858,-99.611251,46.40106598,0
859,-96.5244,44.5051,0
860,-103.310857,46.387184,0
861,-98.83444,43.2082,0
862,-99.28296,43.32659,0
863,-99.22372017,46.58093502,0
864,-109.622856,51.474112,0
865,-122.274117,51.938961,0
866,-106.976515,51.242353,0
867,-111.727508,45.366212,0
868,-108.241986,51.993508,0
869,-104.870498,39.156998,0
870,-105.219065,49.217575,0
871,-113.631061,51.167862,0
872,-134.884943,60.106654,0
873,-115.08799,48.878593,0
874,-136.876678,62.591508,0
875,-106.119554,52.750682,0
876,-121.928833,51.08197,0
877,-107.387345,50.708666,0
878,-113.79318,49.045106,0
879,-112.446271,59.123753,0
880,-112.562818,48.363793,0
881,-110.408836,49.262603,0
882,-145.151818,66.7229,0
883,-145.156578,66.920676,0
884,-104.939346,36.366238,0
885,-108.468683,37.679967,0
886,-106.20683,38.17738,0
887,-104.29133,39.55535,0
888,-106.29025,40.38422,0
889,-107.173486,39.663742,0
890,-106.08834,39.37714,0
891,-107.30596,37.191909,0
892,-105.426546,37.429006,0
893,-105.129475,37.32172,0
894,-105.72585,39.696095,0
895,-108.602977,39.067217,0
896,-108.293586,39.912387,0
897,-109.188871,53.516907,0
898,-109.066017,45.597612,0
899,-122.559589,51.836555,0
900,-105.981031,38.849269,0
901,-112.956052,51.300716,0
902,-112.84552,52.98161,0
903,-106.147553,52.434813,0
904,-135.153794,60.953972,0
905,-111.975403,49.006256,0
906,-130.705506,58.179325,0
907,-108.255944,45.074385,0
908,-111.766313,52.191807,0
909,-124.161018,52.05067,0
910,-121.021303,55.126949,0
911,-111.510059,35.168023,0
912,-112.557031,46.010309,0
913,-117.999233,52.802192,0
914,-112.848784,50.783718,0
915,-108.881912,44.693837,0
916,-144.332108,61.521197,0
917,-145.405272,62.038106,0
918,-122.2855,51.747647,0
919,-122.120085,52.121841,0
920,-103.628572,43.703682,0
921,-107.708108,36.996217,0
922,-105.213622,40.784587,0
923,-108.448952,33.47902,0
924,-107.908423,37.241819,0
925,-103.169334,44.163122,0
