,X_WGS84,Y_WGS84,bougra
947,-133.42,63.74,0
948,-133.354715,62.238491,0
949,-133.35,64.88,0
950,-133,66.44,0
951,-133,68.88,0
952,-132.62,60.54,0
953,-132.62,65.98,0
954,-132.59,59.93,0
955,-132.51,67.85,0
956,-132.509492,61.969454,0
957,-132.47,63.09,0
958,-132.39,58.48,0
959,-132.28,64.31,0
960,-132.13,66.75,0
961,-131.98,68.53,0
962,-131.94,59.36,0
963,-131.84,56.65,0
964,-131.82,65.41,0
965,-131.75,61.3,0
966,-131.6,62.71,0
967,-131.52,67.51,0
968,-131.23,63.55,0
969,-131.16,57.9,0
970,-131.14,66.36,0
971,-130.87,57.15,0
