,X_WGS84,Y_WGS84,geutri
722,-120.0474,44.5681,1
723,-117.4283,45.6559,1
724,-120.545,42.6939,1
725,-121.405,42.1989,1
726,-121.5888,44.5557,1
727,-118.2312,45.3481,1
728,-121.007,42.564,1
729,-119.7262,42.5,1
730,-121.9068,42.537,1
731,-121.3692,44.7309,1
732,-120.8497,42.838,1
733,-117.3021,45.3146,1
734,-118.988,43.8071,1
735,-117.2375,45.2311,1
736,-118.7542,42.5447,1
737,-118.4956,44.6028,1
738,-120.0072,44.7978,1
739,-118.9492,44.3897,1
740,-120.1507,42.3162,1
741,-165.86,65.56,0
742,-165.4,64.92,0
743,-165.02,65.79,0
744,-164.41,62.18,0
745,-164.15,68.42,0
746,-163.99,60.77,0
747,-163.69,61.68,0
748,-163.27,60.73,0
749,-163.23,67.81,0
750,-163.19,62.33,0
751,-163,65.22,0
752,-162.81,61.35,0
753,-162.74,68.92,0
754,-162.51,61.03,0
755,-162.4,61.95,0
756,-162.36,67.32,0
757,-162.2,62.71,0
758,-162.17,69.52,0
759,-161.94,68.49,0
760,-161.79,60.73,0
761,-161.75,61.72,0
762,-161.25,68.5,0
763,-161.21,59.74,0
764,-161.18,60.35,0
765,-161.14,69.45,0
766,-160.99,62.02,0
767,-160.91,65.3,0
768,-160.87,61.3,0
769,-160.68,67.62,0
770,-160.23,66.52,0
771,-160.19,69.41,0
772,-160.03,60.04,0
773,-159.92,68.46,0
774,-159.81,61.11,0
775,-159.77,62.44,0
776,-159.65,56.28,0
777,-159.59,66.45,0
778,-159.58,67.32,0
779,-159.46,64.38,0
780,-159.35,61.87,0
781,-159.31,60.46,0
782,-159.27,63.09,0
783,-159.24,59.28,0
784,-159.12,70.02,0
785,-159.08,68,0
786,-159.04,61.5,0
787,-158.88,69.2,0
788,-158.85,56.5,0
789,-158.51,59.93,0
790,-158.47,62.71,0
791,-158.4,69.75,0
792,-158.25,66.55,0
793,-158.17,60.73,0
794,-158.05,68.8,0
795,-157.83,59.4,0
796,-157.75,70.21,0
797,-157.6,60.12,0
798,-157.52,65.07,0
799,-157.45,68.08,0
800,-157.33,61.38,0
801,-157.14,67.39,0
802,-157.1,63.28,0
803,-157.07,69.22,0
804,-156.99,62.37,0
805,-156.91,66.78,0
806,-156.84,59.36,0
807,-156.76,64.33,0
808,-156.65,60.27,0
809,-156.57,58.26,0
810,-156.53,61.19,0
811,-156.27,58.9,0
812,-156.23,65.37,0
813,-156.15,68.84,0
814,-156.08,58.29,0
815,-156.06,59.85,0
816,-156,66.06,0
817,-155.85,62.4,0
818,-155.66,66.59,0
819,-155.58,63.24,0
820,-155.5,65.49,0
821,-155.43,69.79,0
822,-155.39,64.38,0
823,-155.35,60.65,0
824,-155.16,59.93,0
825,-154.97,58.64,0
826,-154.63,63.43,0
827,-154.55,68.15,0
828,-154.48,61.57,0
829,-154.33,64.09,0
830,-153.91,68.92,0
831,-153.87,65.87,0
832,-153.79,64.77,0
833,-153.75,66.59,0
834,-153.71,62.33,0
